player_id,inclusion_rate,mean_lineup_projection_when_included,leverage_to_baseline
rb_tb_ke_shawn_vaughn,0.0,0.0,-0.06338028169014084
rb_tb_leonard_fournette,0.29411764705882354,191.19413541978773,0.2307373653686827
rb_tb_ronald_jones_ii,0.058823529411764705,181.37233965862416,-0.004556752278376139
rb_ten_darrynton_evans,0.0,0.0,-0.06338028169014084
rb_ten_derrick_henry,0.17647058823529413,183.16676361318332,0.11309030654515329
rb_was_antonio_gibson,0.0,0.0,-0.06338028169014084
rb_was_j_d_mckissic,0.11764705882352941,200.1502218846599,0.054266777133388566
te_atl_hayden_hurst,0.17647058823529413,185.56685152368925,0.11309030654515329
te_bal_mark_andrews,0.0,0.0,-0.06338028169014084
te_bal_nick_boyle,0.0,0.0,-0.06338028169014084
te_car_ian_thomas,0.0,0.0,-0.06338028169014084
te_chi_jimmy_graham,0.0,0.0,-0.06338028169014084
te_cin_drew_sample,0.0,0.0,-0.06338028169014084
te_cle_austin_hooper,0.0,0.0,-0.06338028169014084
te_den_noah_fant,0.0,0.0,-0.06338028169014084
te_det_hunter_bryant,0.058823529411764705,187.65187184291034,-0.004556752278376139
te_det_t_j_hockenson,0.058823529411764705,199.02264424705123,-0.004556752278376139
te_gb_robert_tonyan,0.0,0.0,-0.06338028169014084
te_hou_darren_fells,0.17647058823529413,186.20055948981687,0.11309030654515329
te_hou_jordan_akins,0.0,0.0,-0.06338028169014084
te_ind_trey_burton,0.0,0.0,-0.06338028169014084
te_mia_mike_gesicki,0.11764705882352941,191.0365464694561,0.054266777133388566
te_min_irv_smith_jr,0.0,0.0,-0.06338028169014084
te_nyg_evan_engram,0.058823529411764705,184.45943051496886,-0.004556752278376139
te_nyj_chris_herndon,0.0,0.0,-0.06338028169014084
te_phi_zach_ertz,0.0,0.0,-0.06338028169014084
te_pit_eric_ebron,0.23529411764705882,197.51962851411727,0.17191383595691798
te_tb_cameron_brate,0.058823529411764705,194.0487578699406,-0.004556752278376139
te_ten_jonnu_smith,0.058823529411764705,187.8530470869631,-0.004556752278376139
te_was_logan_thomas,0.0,0.0,-0.06338028169014084
